,id,code,label
816,816,,1
971,971,,1
465,465,"FileAST FuncDef Decl FuncDecl main int Compound Decl n int Decl i int Decl j int Decl a int FuncCall scanf ExprList ""%d"" & n While -- n Compound FuncCall scanf ExprList ""%d"" & a For = i 1 <= i a ++ i Compound For = j 1 < j a ++ j FuncCall printf ExprList ""%d "" * i j FuncCall printf ExprList ""%d\n"" * i a End End Return 0 End",0
799,799,,1
499,499,"FileAST FuncDef Decl FuncDecl main int Compound Decl f1 int Decl f2 int Decl fn int Decl i int Decl n int While == FuncCall scanf ExprList ""%d"" & n 1 Compound ExprList = f1 7 = f2 11 For = i 2 <= i n ++ i Compound = fn % + f1 f2 3 = f1 % f2 3 = f2 % fn 3 End If == % fn 3 0 Compound FuncCall printf ExprList ""yes\n"" End Compound FuncCall printf ExprList ""no\n"" End End End",0
487,487,"FileAST FuncDef Decl FuncDecl main int Compound Decl a int Decl b int Decl i int Decl j int Decl k int Decl ArrayDecl d int 100 Decl ArrayDecl e int 100 Decl ArrayDecl f int 100 FuncCall scanf ExprList ""%d %d"" & a & b If || == a 1 == b 1 FuncCall printf ExprList ""1"" Compound If != a b Compound = ArrayRef d 0 a = ArrayRef e 0 b For = i 0 < i 100 ++ i Compound = ArrayRef d + i 1 / ArrayRef d i 2 End FuncCall printf ExprList ""%d"" ArrayRef f 0 End FuncCall printf ExprList ""%d"" a End Return 0 End",0
744,744,,1
824,824,,1
747,747,,1
439,439,"FileAST FuncDef Decl FuncDecl main int Compound Decl year int Decl month int Decl day int Decl sum int Decl i int Decl ArrayDecl a int 12 FuncCall scanf ExprList ""%d %d %d"" & year & month & day = sum 0 = ArrayRef a 0 = ArrayRef a 2 = ArrayRef a 4 = ArrayRef a 6 = ArrayRef a 7 = ArrayRef a 9 = ArrayRef a 11 31 = ArrayRef a 3 = ArrayRef a 5 = ArrayRef a 8 = ArrayRef a 10 30 If || != % year 4 0 && == % year 100 0 != % year 400 0 = ArrayRef a 1 28 = ArrayRef a 1 29 For = i 0 < i - month 1 ++ i Compound += sum ArrayRef a i End = sum + sum day FuncCall printf ExprList ""%d\n"" sum Return 0 End",0
